,item_id,name,category,price,old_price,sellable_online,depth,height,width,release_date,designer
0,90420332,FREKVENS,Bar furniture,265.0,No old price,True,,99,51,9/10/1981,Nicholai Wiig Hansen
1,368814,NORDVIKEN,Bar furniture,995.0,No old price,False,,105,80,6/8/2008,Francis Cayouette
2,9333523,NORDVIKEN / NORDVIKEN,Bar furniture,2095.0,No old price,False,,,,8/7/2000,Francis Cayouette
3,80155205,STIG,Bar furniture,69.0,No old price,True,50,100,60,4/6/2006,Henrik Preutz
4,30180504,NORBERG,Bar furniture,225.0,No old price,True,60,43,74,5/3/1982,Marcus Arvonen
5,10122647,INGOLF,Bar furniture,345.0,No old price,True,45,91,40,7/6/2015,Carina Bengs
6,70404875,FRANKLIN,Bar furniture,129.0,No old price,True,44,95,50,6/6/2010,K Hagberg/M Hagberg
7,60155602,DALFRED,Bar furniture,195.0,No old price,True,50,,50,9/8/1987,Sarah Fager
8,50406465,FRANKLIN,Bar furniture,129.0,No old price,True,44,95,50,7/15/2015,K Hagberg/M Hagberg
9,69304221,EKEDALEN / EKEDALEN,Bar furniture,2176.0,"SR 2,375",True,,,,4/21/1986,EhlÃ©n Johansson
10,90404879,FRANKLIN,Bar furniture,149.0,No old price,True,44,103,52,4/3/1992,K Hagberg/M Hagberg
11,121766,INGOLF,Bar furniture,395.0,No old price,True,45,102,40,6/19/2006,Carina Bengs
12,397736,NORRARYD,Bar furniture,395.0,No old price,True,47,103,46,10/16/2013,Nike Karlsson
13,50420329,FREKVENS,Bar furniture,177.0,SR 295,True,53,104,43,9/24/2008,Nicholai Wiig Hansen
14,400550,EKEDALEN,Bar furniture,345.0,No old price,True,52,114,43,10/29/1978,EhlÃ©n Johansson
15,29304826,TOMMARYD,Bar furniture,695.0,No old price,True,,105,70,3/13/1982,Maja Ganszyniec
16,40426138,HENRIKSDAL,Bar furniture,395.0,No old price,True,51,102,40,9/4/1984,Karl Malmvall
17,50363649,KULLABERG,Bar furniture,140.0,SR 175,True,36,,36,5/13/1994,Sarah Fager
18,70246089,JANINGE,Bar furniture,595.0,No old price,True,36,84,38,6/24/1996,John/Jonas/Petrus/Paul/Caroline
19,60406785,FRANKLIN,Bar furniture,149.0,No old price,True,44,103,52,3/22/1989,K Hagberg/M Hagberg
20,340759,EKEDALEN,Bar furniture,995.0,No old price,True,,105,80,3/1/1993,EhlÃ©n Johansson
21,30352246,RÃ…SKOG,Bar furniture,175.0,No old price,True,44,63,44,7/12/2011,Nike Karlsson
22,10281354,JANINGE,Bar furniture,595.0,No old price,True,36,84,38,12/8/2001,John/Jonas/Petrus/Paul/Caroline
23,90400517,EKEDALEN,Bar furniture,796.0,SR 995,True,,105,80,9/23/1978,EhlÃ©n Johansson
24,400545,EKEDALEN,Bar furniture,345.0,No old price,True,51,114,43,8/8/2003,EhlÃ©n Johansson
25,10400540,EKEDALEN,Bar furniture,345.0,No old price,True,52,114,43,3/10/2015,EhlÃ©n Johansson
