;item_id;name;category;price;old_price;sellable_online;depth;height;width;release_date;designer
0;90420332;FREKVENS;Bar furniture;173;173;True;;99;51;24/08/2008;Nicholai Wiig Hansen
1;368814;NORDVIKEN;Bar furniture;449;454;False;;105;80;01/11/2009;Francis Cayouette
2;9333523;NORDVIKEN / NORDVIKEN;Bar furniture;727;729;False;;;;20/02/2006;Francis Cayouette
3;80155205;STIG;Bar furniture;556;565;True;50;100;60;17/12/1984;Henrik Preutz
4;30180504;NORBERG;Bar furniture;857;864;True;60;43;74;23/02/1982;Marcus Arvonen
5;10122647;INGOLF;Bar furniture;444;430;True;45;91;40;22/10/1990;Carina Bengs
6;70404875;FRANKLIN;Bar furniture;133;135;True;44;95;50;30/06/1996;K Hagberg/M Hagberg
7;60155602;DALFRED;Bar furniture;498;484;True;50;;50;31/01/1989;Sarah Fager
8;50406465;FRANKLIN;Bar furniture;211;214;True;44;95;50;04/02/2009;K Hagberg/M Hagberg
9;69304221;EKEDALEN / EKEDALEN;Bar furniture;222;225;True;;;;01/07/1996;Ehlén Johansson
10;90404879;FRANKLIN;Bar furniture;239;254;True;44;103;52;13/11/1988;K Hagberg/M Hagberg
11;121766;INGOLF;Bar furniture;534;536;True;45;102;40;22/09/2006;Carina Bengs
12;397736;NORRARYD;Bar furniture;647;627;True;47;103;46;02/09/2012;Nike Karlsson
13;50420329;FREKVENS;Bar furniture;142;132;True;53;104;43;19/12/1990;Nicholai Wiig Hansen
14;400550;EKEDALEN;Bar furniture;555;545;True;52;114;43;23/06/2001;Ehlén Johansson
15;29304826;TOMMARYD;Bar furniture;430;423;True;;105;70;20/07/1997;Maja Ganszyniec
16;40426138;HENRIKSDAL;Bar furniture;143;156;True;51;102;40;01/01/2000;Karl Malmvall
17;50363649;KULLABERG;Bar furniture;131;126;True;36;;36;08/03/1992;Sarah Fager
18;70246089;JANINGE;Bar furniture;369;356;True;36;84;38;21/10/1983;John/Jonas/Petrus/Paul/Caroline
19;60406785;FRANKLIN;Bar furniture;610;616;True;44;103;52;28/04/1996;K Hagberg/M Hagberg
20;340759;EKEDALEN;Bar furniture;503;508;True;;105;80;07/05/1996;Ehlén Johansson
21;30352246;RÅSKOG;Bar furniture;289;302;True;44;63;44;25/04/1985;Nike Karlsson
22;10281354;JANINGE;Bar furniture;106;105;True;36;84;38;27/09/1993;John/Jonas/Petrus/Paul/Caroline
23;90400517;EKEDALEN;Bar furniture;544;533;True;;105;80;03/02/1998;Ehlén Johansson
24;400545;EKEDALEN;Bar furniture;224;223;True;51;114;43;15/04/2000;Ehlén Johansson
25;10400540;EKEDALEN;Bar furniture;232;241;True;52;114;43;03/01/1989;Ehlén Johansson
26;40400529;EKEDALEN;Bar furniture;875;863;True;;105;80;13/03/1997;Ehlén Johansson
27;90319918;HENRIKSDAL;Bar furniture;339;327;True;51;102;40;08/03/1996;Karl Malmvall
28;29297227;STENSELE / NORRARYD;Bar furniture;309;326;True;;;;14/05/1980;Nike Karlsson/Maja Ganszyniec
29;99323925;STENSELE;Bar furniture;823;835;True;;104;70;16/08/1994;Maja Ganszyniec
30;40339004;NORRÅKER;Bar furniture;569;583;True;;102;74;28/04/1998;J Karlsson/N Karlsson
31;39184324;HENRIKSDAL;Bar furniture;798;786;True;51;102;40;11/01/1986;IKEA of Sweden/Karl Malmvall
32;19297275;NORRÅKER / NORRÅKER;Bar furniture;245;232;True;;;;24/03/1980;J Karlsson/N Karlsson
33;60400745;YNGVAR;Bar furniture;511;511;True;40;;40;30/06/1985;IKEA of Sweden
34;20336619;HENRIKSDAL;Bar furniture;844;824;True;;;;01/07/1989;IKEA of Sweden
35;20429010;NORRÅKER;Bar furniture;717;709;True;48;100;42;09/06/2001;J Karlsson/N Karlsson
36;80369112;NORDVIKEN;Bar furniture;564;555;False;47;101;40;09/12/1994;Francis Cayouette
37;89280380;NORRÅKER / NORRARYD;Bar furniture;561;556;True;;104;74;13/04/1991;Nike Karlsson/J Karlsson/N Karlsson
38;29304223;EKEDALEN / EKEDALEN;Bar furniture;449;440;True;;;;13/10/2015;Ehlén Johansson
39;49304217;EKEDALEN / EKEDALEN;Bar furniture;350;341;True;;;;24/01/2012;Ehlén Johansson
40;272656;BERNHARD;Bar furniture;744;758;True;50;90;48;16/04/2009;Ola Wihlborg
41;79241940;NORRÅKER / NORRÅKER;Bar furniture;613;599;True;;104;74;31/07/1999;J Karlsson/N Karlsson
42;89297272;NORRÅKER / NORRARYD;Bar furniture;522;530;True;;;;25/02/1992;Nike Karlsson/J Karlsson/N Karlsson
43;9288224;STENSELE;Bar furniture;689;704;True;;105;;17/12/2015;Maja Ganszyniec
